actor_id,actor_name,degree_centrality,betweenness_centrality,degree
nm0000226,Will Smith,0.001954240702324043,0.0003161892433756879,65
nm0001800,Rip Torn,0.0010823486966717777,0.00028021493728031194,36
nm0001223,Lara Flynn Boyle,0.0003607828988905926,1.6255679047864816e-05,12
nm0000354,Matt Damon,0.003096719882144253,0.0010200096757506517,103
nm0000106,Drew Barrymore,0.0016836535281560987,0.0005365213453332122,56
nm0000597,Bill Pullman,0.0021045669101951233,0.0008078414872276078,70
nm0108028,Jim Breuer,0.0001803914494452963,3.898593493752259e-05,6
nm0005450,David Spade,0.0006013048314843209,8.815277664027295e-05,20
nm0000422,John Goodman,0.002615676016956796,0.0013670328613617662,87
nm0457755,Eartha Kitt,9.019572472264814e-05,0.0,3
