actor_id,actor_name,genres
nm0000126,Kevin Costner,"['Drama', 'History', 'Thriller']"
nm0339304,Bruce Greenwood,"['Drama', 'History', 'Thriller']"
nm0238057,Shawn Driscoll,"['Drama', 'History', 'Thriller']"
nm0177020,Drake Cook,"['Drama', 'History', 'Thriller']"
nm0001401,Angelina Jolie,"['Action', 'Adventure', 'Fantasy']"
nm0000685,Jon Voight,"['Action', 'Adventure', 'Fantasy']"
nm0322513,Iain Glen,"['Action', 'Adventure', 'Fantasy']"
nm0852965,Noah Taylor,"['Action', 'Adventure', 'Fantasy']"
nm0000649,Paul Sorvino,['Drama']
nm0878911,Steven Tyler,['Drama']
nm0157915,Nick Chinlund,['Drama']
nm0000529,Debi Mazar,['Drama']
nm0000131,John Cusack,"['Comedy', 'Drama', 'Music']"
nm0005013,Iben Hjejle,"['Comedy', 'Drama', 'Music']"
nm0521974,Todd Louiso,"['Comedy', 'Drama', 'Music']"
nm0085312,Jack Black,"['Comedy', 'Drama', 'Music']"
nm0000226,Will Smith,"['Drama', 'Fantasy', 'Sport']"
nm0000354,Matt Damon,"['Drama', 'Fantasy', 'Sport']"
nm0000234,Charlize Theron,"['Drama', 'Fantasy', 'Sport']"
nm0569226,Bruce McGill,"['Drama', 'Fantasy', 'Sport']"
nm0000800,Armand Assante,"['Drama', 'Music']"
nm0893204,Diane Venora,"['Drama', 'Music']"
nm0341055,Joe Grifasi,"['Drama', 'Music']"
nm0556985,Tom Mason,"['Drama', 'Music']"
nm0000056,Paul Newman,"['Comedy', 'Crime', 'Drama']"
nm0000400,Linda Fiorentino,"['Comedy', 'Crime', 'Drama']"
nm0000551,Dermot Mulroney,"['Comedy', 'Crime', 'Drama']"
nm0055794,Susan Barnes,"['Comedy', 'Crime', 'Drama']"
nm0000354,Matt Damon,"['Drama', 'Romance', 'Western']"
nm0004851,Penélope Cruz,"['Drama', 'Romance', 'Western']"
nm0001794,Henry Thomas,"['Drama', 'Romance', 'Western']"
nm0129583,Angelina Torres,"['Drama', 'Romance', 'Western']"
nm0000558,Leslie Nielsen,"['Action', 'Comedy']"
nm0613147,Lochlyn Munro,"['Action', 'Comedy']"
nm0029502,Vanessa Angel,"['Action', 'Comedy']"
nm0001235,William Forsythe,"['Action', 'Comedy']"
nm0451321,Shah Rukh Khan,"['Action', 'Drama', 'Musical']"
nm0706787,Aishwarya Rai Bachchan,"['Action', 'Drama', 'Musical']"
nm0802103,Chandrachur Singh,"['Action', 'Drama', 'Musical']"
nm2528716,Sharad S. Kapoor,"['Action', 'Drama', 'Musical']"
nm0003784,Joe Grisaffi,['Comedy']
nm0702712,Anne Quackenbush,['Comedy']
nm0467632,Therese Kotara,['Comedy']
nm0943961,Garrison Wynn,['Comedy']
nm0000514,Michael Madsen,"['Crime', 'Drama', 'Thriller']"
nm0112915,L.P. Brown III,"['Crime', 'Drama', 'Thriller']"
nm0621008,Charles Napier,"['Crime', 'Drama', 'Thriller']"
nm0001397,Brion James,"['Crime', 'Drama', 'Thriller']"
nm0000798,Linden Ashby,['Drama']
nm0066664,Leslie Bega,['Drama']
nm0236952,Larry Drake,['Drama']
nm0887708,Melvin Van Peebles,['Drama']
nm0000218,Kristin Scott Thomas,"['Drama', 'Romance']"
nm0000576,Sean Penn,"['Drama', 'Romance']"
nm0000843,Anne Bancroft,"['Drama', 'Romance']"
nm0289038,James Fox,"['Drama', 'Romance']"
nm0440229,Vincent Kartheiser,"['Biography', 'Crime', 'Drama']"
nm0159668,Chad Christ,"['Biography', 'Crime', 'Drama']"
nm0802217,Sabine Singh,"['Biography', 'Crime', 'Drama']"
nm0835840,Richard M. Stuart,"['Biography', 'Crime', 'Drama']"
nm0005172,Norm MacDonald,"['Comedy', 'Crime']"
nm0152638,Dave Chappelle,"['Comedy', 'Crime']"
nm0834626,Elaine Stritch,"['Comedy', 'Crime']"
nm0000362,Danny DeVito,"['Comedy', 'Crime']"
nm0002101,Robin Givens,"['Comedy', 'Romance']"
nm0429114,Richard T. Jones,"['Comedy', 'Romance']"
nm0724757,Salli Richardson-Whitfield,"['Comedy', 'Romance']"
nm0313416,Eric George,"['Comedy', 'Romance']"
nm0000635,Yahoo Serious,['Comedy']
nm0197940,Helen Dallimore,['Comedy']
nm0275913,David Field,['Comedy']
nm0685221,Grant Piro,['Comedy']
nm0005260,Frankie Muniz,"['Comedy', 'Drama', 'Family']"
nm0000102,Kevin Bacon,"['Comedy', 'Drama', 'Family']"
nm0000178,Diane Lane,"['Comedy', 'Drama', 'Family']"
nm0005561,Luke Wilson,"['Comedy', 'Drama', 'Family']"
nm0000187,Madonna,"['Comedy', 'Drama', 'Romance']"
nm0000391,Rupert Everett,"['Comedy', 'Drama', 'Romance']"
nm0000973,Benjamin Bratt,"['Comedy', 'Drama', 'Romance']"
nm0001152,Illeana Douglas,"['Comedy', 'Drama', 'Romance']"
nm0816669,Douglas Spain,['Drama']
nm0333888,Aimee Graham,['Drama']
nm0005497,Nicholle Tom,['Drama']
nm0002364,Dante Basco,['Drama']
nm0103038,Jesse Bradford,"['Action', 'Adventure', 'Comedy']"
nm0829390,French Stewart,"['Action', 'Adventure', 'Comedy']"
nm0305519,Paula Garcés,"['Action', 'Adventure', 'Comedy']"
nm0000299,Michael Biehn,"['Action', 'Adventure', 'Comedy']"
nm0779084,Dougray Scott,"['Drama', 'Mystery', 'Romance']"
nm0000701,Kate Winslet,"['Drama', 'Mystery', 'Romance']"
nm0004787,Saffron Burrows,"['Drama', 'Mystery', 'Romance']"
nm0000562,Jeremy Northam,"['Drama', 'Mystery', 'Romance']"
nm0000532,Malcolm McDowell,"['Horror', 'Thriller']"
nm0000650,Talisa Soto,"['Horror', 'Thriller']"
nm0708873,Bruce Ramsay,"['Horror', 'Thriller']"
nm0574308,Kent McQuaid,"['Horror', 'Thriller']"
nm0000191,Ewan McGregor,"['Biography', 'Drama']"
nm0528462,Susan Lynch,"['Biography', 'Drama']"
nm0778831,Andrew Scott,"['Biography', 'Drama']"
nm0564516,Vinnie McCabe,"['Biography', 'Drama']"
nm0004692,Mark Addy,"['Comedy', 'Family', 'Romance']"
